HolderAddress,Balance
0xa3967939EB94521c565a20950bf13300c4F45A2a,5499600.263910735002612411
0x98fcC448Cc309fcA863b15CC04b2Be3cA4d3711A,5478666.248943469404699535
0x578DD6626049088a025a58Ed5bAB6A1DD7646b58,5440596.1562006333947904
0x3F4Ef618d92dFe8f39662640937bb121Eb339DEC,5433151.930950911087804025
0xa4F7a963D0Fbf2Ae3cB224Af9C5897ED40da69Cf,5346857.686156459617619002
0xee6059E44648539f38ebCe132dc832A3b79Eaceb,5259362.191781118828754774
0xE2c787567D26A77F590EBF026cf0E5180045BD03,4934777.792422592561803744
0xFabcdBfe65Fe1c3BEEDA1a0922925117de190178,4842419.103007454626372079
0x113C197d3D8c00a1Ae63EBa114Db5Bc72F62E988,4764401.970409508177482428
0x4E2c3e2cABB67579813D29314f00efe6c8249C16,4730394.292826141859068458
0x41f35485Dea9e5e7C683d1C6CA650e8179c606ba,4693340.328238658562145996
0x55b4C2758cedFCb6c52447a275F657707F3863ab,4675073.829630824448892611
0x7f077d06243119F9aE78743Fb2fE14C0C73161B5,4601743.244307752311576184
0x545322d21D3E186639A1571Aab35833855db1ce2,4487544.24224820230031364
0x83A176D8DF8dACCE80C2f0f6B78d284a9402bD66,4441906.563913991721954996
0xa798A17Ac54E6F6E8Cb30b46fc787A193B49B5Af,4414636.781246182864788491
0x439d14D83E57fC9a662F7f9e6E04C205Ec9327a0,4402119.006620502686459031
0x375629FC6568CCd60b1a62fF4801962947129CB0,4340272.944825971898538096
0x09afED3B4bEa4B21729239df9e3a316F87A1e9c2,4311628.471292125642765085
0xa118361E24c450Ba78700a43c2B10dD945307016,4278507.787076009676640429
0x6e53F0e2F61e79F95409506ABe999e39D42e53d7,4236047.629283727034931412
0x588b69c92ecf251Ed40263ae9665E0999723C900,4225975.913312073188420024
0x718C2048b7B913Ce9A9693bCE38F29544acE99C9,4223537.36509374797258765
0x1962Bdfd6Ec65027bDaD7C539F0561CBFa49B598,4117111.703537312825036534
0xe12E5Ee61853E9CC00562eAFf3B5d166e9350b1a,4069954.096951240104360602
0x8fe83dab1D17185f091569b440B9e3C7EAd1453d,4041395.280832758664603698
0x1bEEa390EB377D9c4faa757058cA6df71794eA7e,3982539.05181641342426954
0x8b1fb4937bAB5D02248a0825bF2564863237b00F,3960567.375216103491311615
0x2edAb1F4b7FfaD638Af8544aCAb3621ce375CbE8,3911452.244890632962893675
0x9FFc6384B9987D5843c76D6D1F7FD72108179807,3910292.936747165372380833
0x7a1Bc21d6A75b9Be74DF6C89b4840Ea8D45eD0f7,3798530.30093365792678788
0x79279c9bD22650a446631Bfae10CD581Bdf8B1E8,3794509.184205753806976683
0x8dF24569a74E094bf75E17d1F0c238D39B5E17B5,3765150.383946534890488539
0x4edbF486e4e99e5f1Cd346b90fa03EcBFf7857c8,3718123.678096987639475654
0xd76a9aed1d8B56a286322B3076eeDbD8663736Bc,3699472.219050025798316863
0xA3df0E5cbA12375D446454BE479D5b73659351E1,3629335.478240316916423135
0x28Be902f7d03D29FF262c19460AB39f323dfE7e9,3627190.038546768992593943
0xe45BFBf3FF0097f034ab6DD8Bf304505bEe1C992,3525455.00107833376168532
0x0a47f7e62e39f28126C213adDF99E6277901C3fD,3511451.367677999521184832
0x916D1f39Dd7583dc7704FBA5B159Ac121CCf3Cca,3469793.020678877820476501
0xD9D94ba95D3200979755044D91EB740aeCf2abBd,3464005.731407516949079183
